SMILES,Docked_SMILES,Score
CC1=CC(=C2C(=CC=C3C2=NC=N3)N1)NC4=CC=C(C=C4)N(C)C(=O)C,CC(=O)N(C)c1ccc(Nc2cc(C)[nH]c3ccc4ncnc4c23)cc1,-9
CC(C)C(=O)OC1=C(C2=C(CC(CC2)NC)C=C1)OC(=O)C(C)C,CNC1CCc2c(ccc(OC(=O)C(C)C)c2OC(=O)C(C)C)C1,-6.6
C1CN(CCN1C/C=C/C2=CC=CC=C2)C(=O)C3=CC=C(C=C3)Cl,O=C(c1ccc(Cl)cc1)N1CCN(C/C=C/c2ccccc2)CC1,-7.6
CCCCN1C(=O)C2C(=O)N(C(=O)C(C1=O)C2(C)C)CCCCN3CCN(CC3)C4=CC=CC=C4OC,CCCCN1C(=O)C2C(=O)N(CCCCN3CCN(c4ccccc4OC)CC3)C(=O)C(C1=O)C2(C)C,-7.1
CCC(=O)N(C1=CC=CC=C1F)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)C4=CC=CC=C4,CCC(=O)N(c1ccccc1F)C1(c2ccccc2)CCN(CCn2nnn(CC)c2=O)CC1,-7.6
CC1=CC=C(C=C1)C2=CC=C(O2)/C=C/3\C(=O)N=C(S3)N4CCOCC4,Cc1ccc(-c2ccc(/C=C3/SC(N4CCOCC4)=NC3=O)o2)cc1,-7.5
CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCCN3CCC(CC3)C(=O)C4=CC=C(C=C4)F,Cn1c(=O)c2c(ncn2CCCN2CCC(C(=O)c3ccc(F)cc3)CC2)n(C)c1=O,-9.1
C[C@H]1CCC[C@@]2([C@@H](O2)C[C@H](OC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)C)(C)C)O)/C(=C/C3=CSC(=N3)CN)/C)C,C/C(=C\c1csc(CN)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,-7.3
CCOC(=O)C(=O)NC1=CC(=CC(=C1Cl)NC(=O)C(=O)OCC)C#N,CCOC(=O)C(=O)Nc1cc(C#N)cc(NC(=O)C(=O)OCC)c1Cl,-7.1
CC1=NC(=O)[C@]([C@@H]2N1CCCC2)(CCN(C(C)C)C(C)C)C3=CC=CC=C3,CC1=NC(=O)[C@](CCN(C(C)C)C(C)C)(c2ccccc2)[C@H]2CCCCN12,-7.3
COC1=C(C=C(C=C1)CN2CCN(CC2)C3=NC(=C(C=C3)Br)OC)OC,COc1ccc(CN2CCN(c3ccc(Br)c(OC)n3)CC2)cc1OC,-7.3
CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3F,CN1C(=O)C(O)N=C(c2ccccc2F)c2cc(Cl)ccc21,-8.3
CN1CCCC1=NCCC2=CC(=C(C=C2)OC)OC,COc1ccc(CCN=C2CCCN2C)cc1OC,-6.5
CCOCC(COC1=CC=C(C=C1)NC(=O)CC[S+](C)C)O,CCOCC(O)COc1ccc(NC(=O)CC[S+](C)C)cc1,-6.1
C1=CC=C(C(=C1)C(=O)NCCCCCCCC(=O)O)O,O=C(O)CCCCCCCNC(=O)c1ccccc1O,-7.8
CC(=O)NC[C@H]1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCN(CC3)CC4=CC=C(O4)[N+](=O)[O-])F,CC(=O)NC[C@H]1CN(c2ccc(N3CCN(Cc4ccc([N+](=O)[O-])o4)CC3)c(F)c2)C(=O)O1,-7.5
C1C2C3=CC=CC=C3C(N2)(C4=CC=CC=C41)C(=O)N,NC(=O)C12NC(Cc3ccccc31)c1ccccc12,-8
C1=CC=C(C=C1)C(COC(=O)N)(COC(=O)N)F,NC(=O)OCC(F)(COC(N)=O)c1ccccc1,-6.4
CNC(=O)NC1=C(C2=C(C(=C1OCCN3CCCCC3)OC)OC=C2)OC,CNC(=O)Nc1c(OCCN2CCCCC2)c(OC)c2occc2c1OC,-7
C1CCN(CC1)CC(C2=NOC(=C2)C3=CC=CC=C3)O,OC(CN1CCCCC1)c1cc(-c2ccccc2)on1,-8.2
