SMILES,Docked_SMILES,Score
C/C=C(\C)/C(=O)NC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)C(=O)OC(C)(C)C,C/C=C(\C)C(=O)Nc1ccc(S(=O)(=O)N2CCN(C(=O)OC(C)(C)C)CC2)cc1,-7.7
C[C@@H](C(=O)N[C@H]1CCCC[C@H]2CC[C@H](N2C1=O)C(=O)NC(C3=CC=CC=C3)C4=CC=CC=C4)O,C[C@H](O)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,-10.0
CC1=CC(=C(C=C1Cl)OC)NC(=O)CN2C3=CC=CC=C3C(=O)N(C2=O)CC(=O)NC4CCCC4,COc1cc(Cl)c(C)cc1NC(=O)Cn1c(=O)n(CC(=O)NC2CCCC2)c(=O)c2ccccc21,-8.4
CC(=C)C(=O)NC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)C(=O)OC(C)(C)C,C=C(C)C(=O)Nc1ccc(S(=O)(=O)N2CCN(C(=O)OC(C)(C)C)CC2)cc1,-6.9
CC1=CN=C(C=N1)NC(=O)[C@H](CC2CCCC2)N3C=CC(=CC3=O)S(=O)(=O)C,Cc1cnc(NC(=O)[C@H](CC2CCCC2)n2ccc(S(C)(=O)=O)cc2=O)cn1,-8.5
CC1CCC2=C(C1)SC(=C2C(=O)NC3CC3)NC(=O)C4CCN(CC4)C(=O)C,CC(=O)N1CCC(C(=O)Nc2sc3c(c2C(=O)NC2CC2)CCC(C)C3)CC1,-7.6
CC1=C(C=C(C=C1)C(=O)NC(C)C2=CC=C(C=C2)N3C=CN=C3)S(=O)(=O)N4CCOCC4,Cc1ccc(C(=O)NC(C)c2ccc(-n3ccnc3)cc2)cc1S(=O)(=O)N1CCOCC1,-7.6
COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OCCN4CCNC(=O)C4)OC)O)OC,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OCCN4CCNC(=O)C4)cc3o2)cc1OC,-8.0
CC1=CC=C(O1)C2=NC3=CC=CC=C3C(=C2)C(=O)OCC(=O)N(C)C4CCS(=O)(=O)C4,Cc1ccc(-c2cc(C(=O)OCC(=O)N(C)C3CCS(=O)(=O)C3)c3ccccc3n2)o1,-8.9
CC1=CC=C(C=C1)OCCCC(=O)NC2=CC=C(C=C2)S(=O)(=O)N3CCOCC3,Cc1ccc(OCCCC(=O)Nc2ccc(S(=O)(=O)N3CCOCC3)cc2)cc1,-7.7
CC1=C(C=C(C=C1)NC(=O)COC2=CC=CC=C2C(=O)N)S(=O)(=O)N3CCCCCC3,Cc1ccc(NC(=O)COc2ccccc2C(N)=O)cc1S(=O)(=O)N1CCCCCC1,-8.5
C1CN(CC1(F)F)C2=NC(=CC(=N2)N3CC4CC3CO4)C5=CC(=C(N=C5)N)OC(F)F,Nc1ncc(-c2cc(N3CC4CC3CO4)nc(N3CCC(F)(F)C3)n2)cc1OC(F)F,-9.3
CC[C@@H]([C@@H](C1=CC=C(C=C1)Cl)C(=O)N2CCCC[C@H]2C(=O)NC(C)C)C(=O)NO,CC[C@H](C(=O)NO)[C@H](C(=O)N1CCCC[C@H]1C(=O)NC(C)C)c1ccc(Cl)cc1,-6.4
C[C@@H](C(=O)N[C@H]1CCCC[C@H]2CC[C@H](N2C1=O)C(=O)NC(C3=CC=CC=C3)C4=CC=CC=C4)N,C[C@H](N)C(=O)N[C@H]1CCCC[C@H]2CC[C@@H](C(=O)NC(c3ccccc3)c3ccccc3)N2C1=O,-7.0
C1=CC=C2C(=C1)NC(=N2)CCNCCC3=NC(=CO3)C(=O)NCC4=C(C=CC=N4)F,O=C(NCc1ncccc1F)c1coc(CCNCCc2nc3ccccc3[nH]2)n1,-8.3
CC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=C(C(=CC=C3)OC)OC)N,COc1cccc(C(=O)Oc2cc(N)n(S(=O)(=O)c3ccc(C)cc3)n2)c1OC,-7.8
CC1=CC=C(C=C1)C2=C(N(C3=NC=NC(=C23)N)CCCO)/C=C(\C#N)/C(=O)NC(C)C,Cc1ccc(-c2c(/C=C(\C#N)C(=O)NC(C)C)n(CCCO)c3ncnc(N)c23)cc1,-7.2
CCOC(=O)N1CCN(CC1)C(=O)C2=CC=C(O2)CS(=O)(=O)C3=CC=CC=C3OC,CCOC(=O)N1CCN(C(=O)c2ccc(CS(=O)(=O)c3ccccc3OC)o2)CC1,-8.4
C[C@H]1[C@H](CN(C(=O)C2=CC=CC(=C2OC[C@@H]3[C@@H](CC[C@H](O3)CCN(C1=O)C)OC)C#N)C)OC,CO[C@H]1CN(C)C(=O)c2cccc(C#N)c2OC[C@H]2O[C@@H](CC[C@H]2OC)CCN(C)C(=O)[C@H]1C,-8.5
CCC(=O)N1CCC2=C1C=CC(=C2)S(=O)(=O)NCCC(=O)NC3=CC=CC=C3C,CCC(=O)N1CCc2cc(S(=O)(=O)NCCC(=O)Nc3ccccc3C)ccc21,-8.1
